,neighborhood,crime
0,Angeles Crest,
1,East Los Angeles,697.0
2,East Whittier,423.0
3,South Diamond Bar,
4,Lopez/Kagel Canyons,
5,Veterans Administration,
6,Unincorporated Catalina Island,
7,Universal City,
8,Whittier Narrows,
9,Alhambra,190.0
10,Baldwin Park,248.0
11,Azusa,286.0
12,Bell Gardens,347.0
13,Bell,470.0
14,Downey,313.0
15,Beverly Hills,301.0
16,Burbank,182.0
17,Cudahy,374.0
18,Commerce,1078.0
19,Covina,356.0
20,Culver City,464.0
21,El Monte,262.0
22,El Segundo,490.0
23,Glendale,293.0
24,Glendora,297.0
25,Hawthorne,728.0
26,Huntington Park,787.0
27,Inglewood,613.0
28,La Canada Flintridge,74.0
29,Irwindale,1770.0
30,San Marino,106.0
31,Industry,35821.0
32,Long Beach,506.0
33,Manhattan Beach,155.0
34,Monrovia,117.0
35,Montebello,284.0
36,Monterey Park,209.0
37,Pomona,615.0
38,Palos Verdes Estates,30.0
39,San Fernando,325.0
40,Ridge Route,
41,San Gabriel,242.0
42,Santa Fe Springs,582.0
43,Santa Monica,725.0
44,Signal Hill,817.0
45,South Gate,659.0
46,South Pasadena,113.0
47,West Covina,245.0
48,Chatsworth Reservoir,
49,Hansen Dam,
50,Arcadia,143.0
51,Gardena,542.0
52,Claremont,139.0
53,Griffith Park,
54,Hermosa Beach,262.0
55,La Verne,158.0
56,Maywood,330.0
57,Pasadena,432.0
58,Redondo Beach,237.0
59,Sepulveda Basin,
60,Sierra Madre,137.0
61,Tujunga Canyons,
62,Vernon,24107.0
63,Torrance,193.0
64,Whittier,247.0
